Date,Close,SMA50,SMA200,Previous_Regime,New_Regime
2022-10-24,15198.75,15129.09798828125,14586.563237304688,MIXED,RISK_ON
2022-12-22,15431.5,15535.93095703125,14727.585234375,RISK_ON,MIXED
2023-02-22,14701.900390625,15261.40201171875,14826.915244140626,MIXED,RISK_OFF
2023-03-06,14881.0,15092.2740234375,14863.419243164062,RISK_OFF,MIXED
2023-03-09,14803.9501953125,15077.5050390625,14874.818994140625,MIXED,RISK_OFF
2023-04-27,15075.0498046875,14706.50599609375,15035.627485351562,RISK_OFF,MIXED
2023-06-08,15921.0498046875,15219.78197265625,15212.108481445313,MIXED,RISK_ON
2023-10-23,16888.69921875,17197.5449609375,15926.728999023437,RISK_ON,MIXED
2023-11-08,17259.69921875,17206.412890625,16010.728994140625,MIXED,RISK_ON
2024-03-13,19646.30078125,19855.7771875,17785.842534179686,RISK_ON,MIXED
2024-03-14,19916.349609375,19866.1191796875,17807.904282226562,MIXED,RISK_ON
2024-03-15,19825.19921875,19874.04015625,17829.306528320314,RISK_ON,MIXED
2024-03-21,19897.400390625,19895.3541796875,17911.520537109376,MIXED,RISK_ON
2024-05-09,20344.80078125,20411.7440625,18580.142763671876,RISK_ON,MIXED
2024-05-10,20469.099609375,20415.4470703125,18599.2830078125,MIXED,RISK_ON
2024-06-04,20323.849609375,20717.1830859375,18936.0277734375,RISK_ON,MIXED
2024-06-05,21054.400390625,20746.060078125,18956.84677734375,MIXED,RISK_ON
2024-08-06,22443.30078125,22451.8380078125,20119.907509765624,RISK_ON,MIXED
2024-08-07,22848.900390625,22478.956015625,20148.513515625,MIXED,RISK_ON
2024-10-04,23534.94921875,23556.4329296875,21392.48427734375,RISK_ON,MIXED
2024-10-09,23599.599609375,23570.244921875,21463.152275390625,MIXED,RISK_ON
2024-10-17,23377.0,23630.2209375,21601.89078125,RISK_ON,MIXED
2024-11-18,21899.400390625,23351.1989453125,21938.85953125,MIXED,RISK_OFF
2024-11-19,22004.349609375,23321.731953125,21951.626279296874,RISK_OFF,MIXED
2024-11-21,21820.849609375,23288.1059375,21963.76552734375,MIXED,RISK_OFF
2024-11-22,22225.55078125,23259.7439453125,21976.335029296875,RISK_OFF,MIXED
2024-12-04,23099.5,23074.0219140625,22090.91701171875,MIXED,RISK_ON
2024-12-19,22752.150390625,22887.5659375,22263.456748046876,RISK_ON,MIXED
2025-01-02,22819.75,22703.5589453125,22349.360478515624,MIXED,RISK_ON
2025-01-06,22225.400390625,22680.6759765625,22371.72748046875,RISK_ON,RISK_OFF
2025-05-12,22511.400390625,21124.1240625,22348.801982421875,RISK_OFF,MIXED
2025-06-19,22763.5,22346.7380859375,22317.052744140627,MIXED,RISK_ON
2025-07-25,23014.80078125,23163.2829296875,22246.767490234375,RISK_ON,MIXED
2025-08-20,23143.150390625,23139.5178515625,22205.8344921875,MIXED,RISK_ON
2025-08-22,22991.30078125,23134.4008984375,22208.752490234376,RISK_ON,MIXED
2025-09-10,23074.150390625,23050.3919921875,22227.675,MIXED,RISK_ON
2025-09-26,22713.150390625,22991.118046875,22265.952021484376,RISK_ON,MIXED
2025-10-03,23027.69921875,22951.818046875,22256.712265625,MIXED,RISK_ON
2025-12-08,23526.19921875,23575.92109375,22639.081279296875,RISK_ON,MIXED
2025-12-12,23726.19921875,23635.7880859375,22696.950283203125,MIXED,RISK_ON
2025-12-16,23570.150390625,23662.575078125,22725.820283203124,RISK_ON,MIXED
2025-12-22,23867.650390625,23698.6251171875,22793.065791015626,MIXED,RISK_ON
2025-12-29,23682.099609375,23738.905078125,22866.512548828126,RISK_ON,MIXED
2025-12-31,23871.55078125,23746.475078125,22900.6648046875,MIXED,RISK_ON
2026-01-08,23680.099609375,23768.5940625,22991.546044921874,RISK_ON,MIXED
2026-01-20,22946.650390625,23717.0750390625,23065.907548828123,MIXED,RISK_OFF
2026-01-29,23134.80078125,23622.9940234375,23124.686796875,RISK_OFF,MIXED
2026-01-30,23079.5,23605.4930078125,23137.68029296875,MIXED,RISK_OFF
2026-02-03,23446.30078125,23576.54,23163.548798828124,RISK_OFF,MIXED
2026-02-09,23683.400390625,23555.9149609375,23202.0137890625,MIXED,RISK_ON
2026-02-13,23313.150390625,23530.773046875,23232.763544921876,RISK_ON,MIXED
2026-02-17,23540.05078125,23520.25203125,23246.754794921875,MIXED,RISK_ON
2026-02-19,23297.44921875,23507.5900390625,23261.290791015625,RISK_ON,MIXED
2026-02-27,23166.849609375,23482.5940625,23301.03828125,MIXED,RISK_OFF
2026-05-06,23133.400390625,22301.586171875,23097.952841796876,RISK_OFF,MIXED
2026-05-11,22795.75,22277.3291796875,23093.264091796875,MIXED,RISK_OFF
2026-06-17,23109.69921875,22591.67703125,23039.4168359375,RISK_OFF,MIXED
2026-06-23,23010.94921875,22710.843984375,23042.788564453123,MIXED,RISK_OFF
2026-06-24,23126.30078125,22726.435,23045.71181640625,RISK_OFF,MIXED
2026-06-29,23000.0,22753.216953125,23050.3978125,MIXED,RISK_OFF
2026-07-01,23111.650390625,22764.8489453125,23052.9890625,RISK_OFF,MIXED
2026-07-08,22908.05078125,22804.7739453125,23061.619560546875,MIXED,RISK_OFF
2026-07-09,23081.150390625,22809.9689453125,23061.512060546876,RISK_OFF,MIXED
2026-07-23,22982.400390625,22890.52,23058.57158203125,MIXED,RISK_OFF
2026-07-27,23153.099609375,22912.0390234375,23061.642333984375,RISK_OFF,MIXED
2026-08-10,23743.19921875,23089.993984375,23083.933818359375,MIXED,RISK_ON
