Omitted_Symbol,Remaining_Completed,Mean_Base_Net_R,Base_R_PF
360ONE,821,-0.014800773483020332,0.9744085614240722
3MINDIA,824,-0.013947767664196326,0.9758402083778687
AAVAS,824,-0.013136422917713338,0.9772135652187662
ABB,823,-0.012723327314554313,0.9779405068585338
ABCAPITAL,823,-0.01547850076425809,0.9732157033621601
ABFRL,824,-0.014323457603608656,0.9752055876892486
ABREL,820,-0.01367532099689472,0.9763656739324454
ACC,824,-0.01387838031751227,0.9759575088257167
ACE,824,-0.013116363376624524,0.9772475688149421
ADANIENT,823,-0.01318736806655009,0.9771520351842713
ADANIGREEN,823,-0.013289488149112273,0.9769815015896742
ADANIPORTS,824,-0.014955478226189128,0.9741164797668611
ADANIPOWER,820,-0.014305585831330049,0.9751539590777137
AEGISLOG,823,-0.012758511741595514,0.9778808540005038
AFFLE,823,-0.012885559874313477,0.9776655129041825
AIIL,824,-0.013498883291550532,0.9765995539896966
AJANTPHARM,824,-0.012896595947274535,0.9776202589442162
ALKEM,824,-0.015188033073185917,0.9737139959414348
ALKYLAMINE,824,-0.013868601623806598,0.9759740421350289
AMBER,823,-0.012917749454082103,0.9776109680151401
AMBUJACEM,824,-0.015046827626608798,0.9739583809071465
ANANDRATHI,824,-0.013123290618741257,0.9772358259486265
ANANTRAJ,824,-0.014317601097274665,0.9752154742480369
ANGELONE,822,-0.015963644502100104,0.9723752313658128
APARINDS,823,-0.012290435401280952,0.9786750424024545
APLAPOLLO,823,-0.012207378964022254,0.9788160996190075
APLLTD,823,-0.011795175249309576,0.9795167595321778
APOLLOTYRE,823,-0.013046035892755879,0.9773936485030685
ARE&M,823,-0.015911881305806185,0.9724298014663004
ASAHIINDIA,823,-0.011723672277939681,0.9796384017014429
ASHOKLEY,822,-0.015008332774544114,0.9740880502447212
ASTERDM,823,-0.011798550933346919,0.9795110175031851
AUBANK,824,-0.0130779706432343,0.9773126562152646
AUROPHARMA,821,-0.01196454738225074,0.9792781719999741
AVANTIFEED,822,-0.011649804440562602,0.9797879871411735
BAJAJ-AUTO,821,-0.03627964162241776,0.937285155456964
BAJAJFINSV,824,-0.014185958634578947,0.9754377570769277
BAJAJHLDNG,823,-0.011699581759522903,0.9796793917387798
BAJFINANCE,823,-0.01151437216722547,0.9799946406122219
BALRAMCHIN,823,-0.012775797494366335,0.9778515498211832
BANKBARODA,823,-0.015745349390959732,0.9727171893266884
