Metric,Dimension,Value
ENABLED_ACCEPTED_ENTRIES,,852.0
ENABLED_COMPLETED_TRADES,,825.0
ENABLED_INCOMPLETE_ACCEPTED,,27.0
MAX_SIMULTANEOUS_COMPLETED_LIFECYCLES,,50.0
SIMULTANEOUS_LIFECYCLE_COVERAGE_PERCENT,,100.0
MAX_SAME_DAY_ENABLED_QUALIFIED_SIGNALS,,15.0
MAX_SAME_DAY_ENABLED_ACCEPTED_ENTRIES,,15.0
SAME_DAY_ENABLED_QUALIFIED_DISTRIBUTION_JSON,,"{""1"": 83, ""10"": 2, ""12"": 2, ""15"": 2, ""2"": 64, ""3"": 40, ""4"": 33, ""5"": 27, ""6"": 12, ""7"": 6, ""8"": 10, ""9"": 2}"
MEDIAN_INITIAL_RISK_FRACTION,,0.05048089507234062
MEDIAN_IMPLIED_POSITION_WEIGHT,,0.19809474518789832
MAX_IMPLIED_POSITION_WEIGHT,,1.4353783989806461
MAPPED_ACCEPTED_ENTRIES,,24.0
UNMAPPED_ACCEPTED_ENTRIES,,828.0
MAPPING_COVERAGE_PERCENT,,2.8169014084507045
SECTOR_ENTRY_COUNT,AUTO,4.0
SECTOR_ENTRY_COUNT,BANK,3.0
SECTOR_ENTRY_COUNT,ENERGY,6.0
SECTOR_ENTRY_COUNT,FINANCIAL_SERVICES,2.0
SECTOR_ENTRY_COUNT,FMCG,1.0
SECTOR_ENTRY_COUNT,INFRASTRUCTURE,4.0
SECTOR_ENTRY_COUNT,METAL,2.0
SECTOR_ENTRY_COUNT,PHARMA,2.0
