Entry_ID,Symbol,Signal_Date,Regime_Context_Date,Active_PIT_Member_Count,SMA50_Denominator,SMA50_Breadth_Coverage,Pct_Above_SMA50,Nifty500_Close,Nifty500_SMA50,Nifty500_SMA200,DATA_SAFE,INDEX_TREND_OK,BREADTH_OK,M1_Regime,Exact_Date_Match,PIT_Denominator_Match
360ONE-2024-01-08,360ONE,2024-01-08,2024-01-08,501,491,0.9800399201596807,84.11405295315683,19417.69921875,18149.1819140625,16709.01821777344,True,True,True,MOMENTUM_ENABLED,True,True
360ONE-2024-05-03,360ONE,2024-05-03,2024-05-03,501,492,0.9820359281437125,71.13821138211382,20959.55078125,20372.7720703125,18499.69776367188,True,True,True,MOMENTUM_ENABLED,True,True
360ONE-2024-07-05,360ONE,2024-07-05,2024-07-05,502,493,0.9820717131474104,84.58417849898579,22987.650390625,21535.2041015625,19521.231015625,True,True,True,MOMENTUM_ENABLED,True,True
360ONE-2024-07-15,360ONE,2024-07-15,2024-07-15,503,493,0.9801192842942346,83.36713995943205,23209.849609375,21791.5201171875,19688.873515625,True,True,True,MOMENTUM_ENABLED,True,True
360ONE-2024-10-21,360ONE,2024-10-21,2024-10-21,500,496,0.992,33.064516129032256,23263.25,23653.2079296875,21645.42802734375,True,True,False,MOMENTUM_DISABLED,True,True
360ONE-2024-12-09,360ONE,2024-12-09,2024-12-09,500,496,0.992,59.4758064516129,23292.0,23008.859921875,22143.2292578125,True,True,True,MOMENTUM_ENABLED,True,True
360ONE-2024-12-20,360ONE,2024-12-20,2024-12-20,500,496,0.992,33.66935483870967,22319.400390625,22861.961953125,22273.589501953124,True,True,False,MOMENTUM_DISABLED,True,True
360ONE-2025-12-30,360ONE,2025-12-30,2025-12-30,501,498,0.9940119760479041,36.94779116465863,23668.80078125,23741.005078125,22882.63955078125,True,True,False,MOMENTUM_DISABLED,True,True
3MINDIA-2024-07-22,3MINDIA,2024-07-22,2024-07-22,503,493,0.9801192842942346,73.83367139959432,22942.650390625,21972.422109375,19798.26501953125,True,True,True,MOMENTUM_ENABLED,True,True
3MINDIA-2025-11-26,3MINDIA,2025-11-26,2025-11-26,502,498,0.9920318725099602,42.16867469879519,23955.19921875,23505.448125,22541.68002929688,True,True,False,MOMENTUM_DISABLED,True,True
AADHARHFC-2025-07-28,AADHARHFC,2025-07-28,2025-07-28,501,497,0.9920159680638723,37.223340040241446,22846.94921875,23162.9058984375,22243.327490234376,True,True,False,MOMENTUM_DISABLED,True,True
AAVAS-2024-06-18,AAVAS,2024-06-18,2024-06-18,502,493,0.9820717131474104,85.59837728194725,22329.599609375,21034.7400390625,19157.73802734375,True,True,True,MOMENTUM_ENABLED,True,True
ABB-2024-05-30,ABB,2024-05-30,2024-05-30,501,492,0.9820359281437125,54.87804878048781,21038.55078125,20644.3850390625,18873.31702148437,True,True,True,MOMENTUM_ENABLED,True,True
ABB-2024-06-27,ABB,2024-06-27,2024-06-27,502,493,0.9820717131474104,77.89046653144015,22537.400390625,21257.6241015625,19349.281025390625,True,True,True,MOMENTUM_ENABLED,True,True
ABB-2026-03-18,ABB,2026-03-18,2026-03-18,500,449,0.898,23.16258351893096,21917.400390625,23088.4110546875,23264.38802734375,True,False,False,MOMENTUM_DISABLED,True,True
ABB-2026-08-25,ABB,2026-08-25,2026-08-25,500,500,1.0,51.6,23611.599609375,23338.775,23075.394296875,True,True,True,MOMENTUM_ENABLED,True,True
ABBOTINDIA-2025-03-17,ABBOTINDIA,2025-03-17,2025-03-17,500,490,0.98,19.59183673469388,20288.30078125,21086.7590234375,22477.832724609376,True,False,False,MOMENTUM_DISABLED,True,True
ABCAPITAL-2024-06-28,ABCAPITAL,2024-06-28,2024-06-28,502,493,0.9820717131474104,79.10750507099391,22559.69921875,21299.2430859375,19377.443017578124,True,True,True,MOMENTUM_ENABLED,True,True
ABCAPITAL-2025-09-29,ABCAPITAL,2025-09-29,2025-09-29,501,498,0.9940119760479041,33.53413654618474,22739.099609375,22977.5060546875,22263.08702148437,True,True,False,MOMENTUM_DISABLED,True,True
ABCAPITAL-2025-10-15,ABCAPITAL,2025-10-15,2025-10-15,503,498,0.9900596421471173,51.80722891566265,23377.349609375,22985.8830859375,22268.92327148437,True,True,True,MOMENTUM_ENABLED,True,True
ABCAPITAL-2025-11-17,ABCAPITAL,2025-11-17,2025-11-17,502,498,0.9920318725099602,49.79919678714859,23954.55078125,23386.6911328125,22451.17802734375,True,True,False,MOMENTUM_DISABLED,True,True
ABCAPITAL-2025-12-12,ABCAPITAL,2025-12-12,2025-12-12,502,498,0.9920318725099602,35.140562248995984,23726.19921875,23635.7880859375,22696.950283203125,True,True,False,MOMENTUM_DISABLED,True,True
ABFRL-2024-07-01,ABFRL,2024-07-01,2024-07-01,502,493,0.9820717131474104,82.75862068965517,22727.599609375,21345.335078125,19406.23626953125,True,True,True,MOMENTUM_ENABLED,True,True
ABREL-2023-11-28,ABREL,2023-11-28,2023-11-28,501,491,0.9800399201596807,65.58044806517312,17741.80078125,17283.902890625,16152.749487304687,True,True,True,MOMENTUM_ENABLED,True,True
ABREL-2024-04-18,ABREL,2024-04-18,2024-04-18,501,492,0.9820359281437125,52.03252032520326,20324.69921875,20191.3971484375,18274.34001953125,True,True,True,MOMENTUM_ENABLED,True,True
ABREL-2024-06-03,ABREL,2024-06-03,2024-06-03,501,493,0.9840319361277445,61.4604462474645,21797.400390625,20707.5680859375,18918.27002929688,True,True,True,MOMENTUM_ENABLED,True,True
ABREL-2024-06-24,ABREL,2024-06-24,2024-06-24,502,493,0.9820717131474104,81.33874239350912,22289.099609375,21159.7550390625,19265.68827148437,True,True,True,MOMENTUM_ENABLED,True,True
ABREL-2024-09-10,ABREL,2024-09-10,2024-09-10,502,493,0.9820717131474104,56.5922920892495,23643.650390625,23182.3839453125,20868.0712890625,True,True,True,MOMENTUM_ENABLED,True,True
ABSLAMC-2024-11-14,ABSLAMC,2024-11-14,2024-11-14,500,496,0.992,16.129032258064516,21963.099609375,23388.466953125,21925.394775390625,True,True,False,MOMENTUM_DISABLED,True,True
ABSLAMC-2025-08-04,ABSLAMC,2025-08-04,2025-08-04,501,497,0.9920159680638723,36.016096579476866,22860.400390625,23180.691875,22228.2594921875,True,True,False,MOMENTUM_DISABLED,True,True
ABSLAMC-2026-05-04,ABSLAMC,2026-05-04,2026-05-04,504,464,0.9206349206349206,76.72413793103449,22830.75,22323.0031640625,23103.89458984375,True,False,True,MOMENTUM_DISABLED,True,True
ABSLAMC-2026-07-02,ABSLAMC,2026-07-02,2026-07-02,500,464,0.928,63.57758620689656,23264.80078125,22772.8289453125,23055.214814453124,True,False,True,MOMENTUM_DISABLED,True,True
ACC-2024-03-01,ACC,2024-03-01,2024-03-01,501,491,0.9800399201596807,57.841140529531565,20349.80078125,19692.01109375,17618.16326171875,True,True,True,MOMENTUM_ENABLED,True,True
ACE-2024-04-08,ACE,2024-04-08,2024-04-08,501,492,0.9820359281437125,67.47967479674797,20819.099609375,20060.6081640625,18139.52103515625,True,True,True,MOMENTUM_ENABLED,True,True
ACE-2026-07-31,ACE,2026-07-31,2026-07-31,500,500,1.0,57.99999999999999,23460.69921875,22975.8319921875,23068.752333984376,True,False,True,MOMENTUM_DISABLED,True,True
ACE-2026-08-17,ACE,2026-08-17,2026-08-17,500,500,1.0,55.60000000000001,23564.44921875,23205.936015625,23084.7165625,True,True,True,MOMENTUM_ENABLED,True,True
ACMESOLAR-2026-07-10,ACMESOLAR,2026-07-10,2026-07-10,500,500,1.0,64.60000000000001,23348.400390625,22821.6249609375,23062.3028125,True,False,True,MOMENTUM_DISABLED,True,True
ACUTAAS-2026-05-18,ACUTAAS,2026-05-18,2026-05-18,504,464,0.9206349206349206,64.22413793103449,22461.05078125,22186.8062109375,23069.70209960937,True,False,True,MOMENTUM_DISABLED,True,True
ADANIENSOL-2025-11-11,ADANIENSOL,2025-11-11,2025-11-11,503,498,0.9900596421471173,45.78313253012048,23682.650390625,23293.1261328125,22404.84302734375,True,True,False,MOMENTUM_DISABLED,True,True
ADANIENSOL-2025-11-26,ADANIENSOL,2025-11-26,2025-11-26,502,498,0.9920318725099602,42.16867469879519,23955.19921875,23505.448125,22541.68002929688,True,True,False,MOMENTUM_DISABLED,True,True
ADANIENSOL-2026-02-17,ADANIENSOL,2026-02-17,2026-02-17,501,449,0.8962075848303394,47.21603563474388,23540.05078125,23520.25203125,23246.754794921875,True,True,False,MOMENTUM_DISABLED,True,True
ADANIENSOL-2026-05-04,ADANIENSOL,2026-05-04,2026-05-04,504,464,0.9206349206349206,76.72413793103449,22830.75,22323.0031640625,23103.89458984375,True,False,True,MOMENTUM_DISABLED,True,True
ADANIENSOL-2026-06-02,ADANIENSOL,2026-06-02,2026-06-02,504,464,0.9206349206349206,58.83620689655172,22521.099609375,22289.0061328125,23051.512587890626,True,False,True,MOMENTUM_DISABLED,True,True
