Effective_Date,Symbol,Canonical_Symbol,Action,Press_Release_Date,Source_URL,Notes
2023-09-07,JIOFIN,JIOFIN,EXCLUDE,2023-09-05,https://www.niftyindices.com/Press_Release/ind_prs05092023.pdf,Jio Financial exclusion after listing price-band test.
2023-09-29,BASF,BASF,EXCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,GARFIBRES,GARFIBRES,EXCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,GODREJAGRO,GODREJAGRO,EXCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,GREENPANEL,GREENPANEL,EXCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,HGS,HGS,EXCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,HIKAL,HIKAL,EXCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,IBREALEST,IBREALEST,EXCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,IFBIND,IFBIND,EXCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,JINDWORLD,JINDWORLD,EXCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,KENNAMET,KENNAMET,EXCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,MAHLOG,MAHLOG,EXCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,NOCIL,NOCIL,EXCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,RUSTOMJEE,RUSTOMJEE,EXCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,TCI,TCI,EXCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,TCIEXP,TCIEXP,EXCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,TCNSBRANDS,TCNSBRANDS,EXCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,TMB,TMB,EXCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,UFLEX,UFLEX,EXCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,ALLCARGO,ALLCARGO,INCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,ALOKINDS,ALOKINDS,INCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,GILLETTE,GILLETTE,INCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
2023-09-29,GLS,GLS,INCLUDE,2023-08-17,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Semi-annual Nifty 500 review.
