Symbol,Yahoo_Ticker,Download_Status,Raw_Row_Count,Raw_Date_Min,Raw_Date_Max,Missing_Close_Count,Missing_Adj_Close_Count,Duplicate_Date_Count,Error
360ONE,360ONE.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,1,1,0,
3MINDIA,3MINDIA.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,2,2,0,
AADHARHFC,AADHARHFC.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,438,438,0,
AARTIDRUGS,AARTIDRUGS.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
AARTIIND,AARTIIND.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
AAVAS,AAVAS.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ABB,ABB.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ABBOTINDIA,ABBOTINDIA.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ABCAPITAL,ABCAPITAL.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ABDL,ABDL.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,471,471,0,
ABFRL,ABFRL.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ABLBL,ABLBL.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,713,713,0,
ABREL,ABREL.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ABSLAMC,ABSLAMC.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ACC,ACC.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ACE,ACE.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ACI,ACI.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,75,75,0,
ACMESOLAR,ACMESOLAR.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,563,563,0,
ACUTAAS,ACUTAAS.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ADANIENSOL,ADANIENSOL.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ADANIENT,ADANIENT.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ADANIGREEN,ADANIGREEN.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ADANIPORTS,ADANIPORTS.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ADANIPOWER,ADANIPOWER.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ADVENTHTL,ADVENTHTL.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,810,810,0,
AEGISLOG,AEGISLOG.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,2,2,0,
AEGISVOPAK,AEGISVOPAK.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,697,697,0,
AETHER,AETHER.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
AFCONS,AFCONS.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,556,556,0,
AFFLE,AFFLE.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
AGARWALEYE,AGARWALEYE.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,622,622,0,
AIAENG,AIAENG.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,2,2,0,
AIIL,AIIL.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,423,423,0,
AJANTPHARM,AJANTPHARM.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,1,1,0,
AKUMS,AKUMS.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,497,497,0,
ALIVUS,ALIVUS.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,1,1,0,
ALKEM,ALKEM.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,1,1,0,
ALKYLAMINE,ALKYLAMINE.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ALLCARGO,ALLCARGO.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ALOKINDS,ALOKINDS.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
AMBER,AMBER.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
AMBUJACEM,AMBUJACEM.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ANANDRATHI,ANANDRATHI.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ANANTRAJ,ANANTRAJ.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ANGELONE,ANGELONE.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ANTHEM,ANTHEM.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,732,732,0,
ANURAS,ANURAS.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,1,1,0,
APARINDS,APARINDS.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
APLAPOLLO,APLAPOLLO.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
APLLTD,APLLTD.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
APOLLOHOSP,APOLLOHOSP.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
APOLLOTYRE,APOLLOTYRE.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
APTUS,APTUS.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ARE&M,ARE&M.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ASAHIINDIA,ASAHIINDIA.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ASHOKLEY,ASHOKLEY.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ASIANPAINT,ASIANPAINT.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ASTERDM,ASTERDM.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ASTRAL,ASTRAL.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ASTRAZEN,ASTRAZEN.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,1,1,0,
ATGL,ATGL.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
ATHERENERG,ATHERENERG.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,678,678,0,
ATUL,ATUL.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
AUBANK,AUBANK.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
AUROPHARMA,AUROPHARMA.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,1,1,0,
AVANTIFEED,AVANTIFEED.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,1,1,0,
AWL,AWL.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
AXISBANK,AXISBANK.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
BAJAJ-AUTO,BAJAJ-AUTO.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
BAJAJFINSV,BAJAJFINSV.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
BAJAJHFL,BAJAJHFL.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,522,522,0,
BAJAJHLDNG,BAJAJHLDNG.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
BAJFINANCE,BAJFINANCE.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
BALAMINES,BALAMINES.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
BALKRISIND,BALKRISIND.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,1,1,0,
BALRAMCHIN,BALRAMCHIN.NS,DOWNLOADED,1007,2022-08-01,2026-08-25,0,0,0,
