Date,Member_Count,Covered_Member_Count,SMA50_Denominator,Above_SMA50_Count,Pct_Above_SMA50,SMA200_Denominator,Above_SMA200_Count,Pct_Above_SMA200,Coverage_200_Sessions,Coverage_OK,Nifty500_Close,Nifty500_SMA200,Regime,Universe_Method,Universe_Member_Count,Eligible_Count_50,Eligible_Count_200,Momentum_Regime
2023-08-01,502,491,491,412,83.91038696537679,482,405,84.02489626556017,0.9601593625498008,True,17051.150390625,15461.934501953125,STRONG_MOMENTUM,POINT_IN_TIME,502,491,482,STRONG_MOMENTUM
2023-08-02,502,491,491,382,77.80040733197556,482,402,83.40248962655602,0.9601593625498008,True,16858.94921875,15472.61974609375,STRONG_MOMENTUM,POINT_IN_TIME,502,491,482,STRONG_MOMENTUM
2023-08-03,502,491,491,367,74.74541751527495,482,399,82.78008298755186,0.9601593625498008,True,16772.30078125,15482.331499023438,STRONG_MOMENTUM,POINT_IN_TIME,502,491,482,STRONG_MOMENTUM
2023-08-04,502,491,491,374,76.17107942973523,482,403,83.60995850622407,0.9601593625498008,True,16890.599609375,15493.132998046874,STRONG_MOMENTUM,POINT_IN_TIME,502,491,482,STRONG_MOMENTUM
2023-08-07,502,491,491,370,75.35641547861506,482,405,84.02489626556017,0.9601593625498008,True,16956.349609375,15503.839248046876,STRONG_MOMENTUM,POINT_IN_TIME,502,491,482,STRONG_MOMENTUM
2023-08-08,502,491,491,375,76.37474541751527,483,403,83.4368530020704,0.9621513944223108,True,16949.25,15514.05474609375,STRONG_MOMENTUM,POINT_IN_TIME,502,491,483,STRONG_MOMENTUM
2023-08-09,502,491,491,372,75.76374745417516,483,408,84.472049689441,0.9621513944223108,True,17003.849609375,15523.791245117189,STRONG_MOMENTUM,POINT_IN_TIME,502,491,483,STRONG_MOMENTUM
2023-08-10,502,491,491,364,74.13441955193483,483,408,84.472049689441,0.9621513944223108,True,16939.849609375,15533.147495117188,STRONG_MOMENTUM,POINT_IN_TIME,502,491,483,STRONG_MOMENTUM
2023-08-11,502,491,491,349,71.07942973523421,483,410,84.88612836438924,0.9621513944223108,True,16860.150390625,15541.887749023435,STRONG_MOMENTUM,POINT_IN_TIME,502,491,483,STRONG_MOMENTUM
2023-08-14,502,491,491,328,66.80244399185335,483,395,81.78053830227742,0.9621513944223108,True,16825.55078125,15550.610004882812,STRONG_MOMENTUM,POINT_IN_TIME,502,491,483,STRONG_MOMENTUM
2023-08-16,502,491,491,326,66.39511201629328,483,391,80.95238095238095,0.9621513944223108,True,16853.05078125,15558.881508789062,STRONG_MOMENTUM,POINT_IN_TIME,502,491,483,STRONG_MOMENTUM
2023-08-17,502,491,491,322,65.58044806517312,483,395,81.78053830227742,0.9621513944223108,True,16802.25,15567.102260742187,STRONG_MOMENTUM,POINT_IN_TIME,502,491,483,STRONG_MOMENTUM
2023-08-18,502,491,491,307,62.52545824847251,483,391,80.95238095238095,0.9621513944223108,True,16757.69921875,15574.669506835937,STRONG_MOMENTUM,POINT_IN_TIME,502,491,483,STRONG_MOMENTUM
2023-08-21,502,492,491,321,65.37678207739307,483,393,81.36645962732919,0.9621513944223108,True,16852.05078125,15582.721762695312,STRONG_MOMENTUM,POINT_IN_TIME,502,491,483,STRONG_MOMENTUM
2023-08-22,502,492,491,336,68.43177189409369,483,401,83.02277432712215,0.9621513944223108,True,16905.25,15590.128012695312,STRONG_MOMENTUM,POINT_IN_TIME,502,491,483,STRONG_MOMENTUM
2023-08-23,502,492,491,351,71.4867617107943,483,404,83.64389233954451,0.9621513944223108,True,16950.25,15597.192260742188,STRONG_MOMENTUM,POINT_IN_TIME,502,491,483,STRONG_MOMENTUM
2023-08-24,502,492,491,349,71.07942973523421,483,406,84.05797101449275,0.9621513944223108,True,16930.150390625,15604.355263671874,STRONG_MOMENTUM,POINT_IN_TIME,502,491,483,STRONG_MOMENTUM
2023-08-25,502,492,491,320,65.17311608961303,483,404,83.64389233954451,0.9621513944223108,True,16820.849609375,15611.036010742188,STRONG_MOMENTUM,POINT_IN_TIME,502,491,483,STRONG_MOMENTUM
2023-08-28,502,492,491,336,68.43177189409369,483,407,84.26501035196688,0.9621513944223108,True,16875.30078125,15617.758266601562,STRONG_MOMENTUM,POINT_IN_TIME,502,491,483,STRONG_MOMENTUM
