Removed_Symbol,Remaining_Count,Base_Practical_Mean_R,Base_Practical_R_PF
360ONE,2432,-0.09714297881728791,0.8995628417264214
3MINDIA,2428,-0.10112633009031807,0.8954737816723441
AADHARHFC,2433,-0.0981825967375498,0.8985487297417211
AARTIIND,2430,-0.09644429028560285,0.9002319459547381
AAVAS,2431,-0.09777342654172744,0.8989550896069388
ABB,2430,-0.09872059851808193,0.8979472344015237
ABBOTINDIA,2431,-0.10268282131232365,0.8939833535954629
ABCAPITAL,2432,-0.09954228825432099,0.8971482144515421
ABFRL,2430,-0.09980419460610764,0.8968665506063559
ABLBL,2436,-0.09901851799131707,0.8976709804264922
ABREL,2434,-0.09731643415450841,0.8993271450382365
ABSLAMC,2434,-0.0981334509950945,0.898567679626615
ACC,2428,-0.09970525968865568,0.8970234316618284
ACE,2432,-0.10010552502871949,0.8966033474035318
ACI,2435,-0.09864283585226967,0.8980572258483244
ACMESOLAR,2435,-0.09845381818116954,0.8982326874792755
ADANIENSOL,2432,-0.09788710025400502,0.898862343128477
ADANIENT,2432,-0.09722999255026439,0.8994819203541509
ADANIGREEN,2434,-0.09825689386398254,0.8984530437174605
ADANIPORTS,2436,-0.09897690095706185,0.8977095895003055
ADANIPOWER,2435,-0.09856172935357049,0.8981325071236683
AEGISLOG,2431,-0.10846277334095902,0.8880403050604728
AEGISVOPAK,2435,-0.09861540457052533,0.8980826855507305
AFCONS,2434,-0.09805163036873699,0.8986436789301744
AFFLE,2429,-0.10330974078580905,0.8932508747547876
AIAENG,2433,-0.09984940015499208,0.896836058993801
AIIL,2435,-0.09856226480002742,0.8981320100926108
AJANTPHARM,2431,-0.10096090372411112,0.8957176959439964
AKUMS,2436,-0.0999311176927196,0.8967802295400963
ALKEM,2429,-0.10066623018276241,0.8960459266076197
ALKYLAMINE,2436,-0.09979070757501553,0.8969252604419243
ALLCARGO,2434,-0.10089578847374314,0.8958206314440603
ALOKINDS,2432,-0.0981053760379069,0.8985756727495446
AMBER,2435,-0.09838923551884092,0.8982926540943301
AMBUJACEM,2430,-0.09396658712479643,0.9025991860505687
ANANDRATHI,2436,-0.09904348471907498,0.897647819816297
ANANTRAJ,2434,-0.10152075349285491,0.895174920088163
ANGELONE,2431,-0.09792989747777982,0.8987821413213092
ANURAS,2435,-0.09857470594668545,0.8981204616861008
APARINDS,2435,-0.0986385392870086,0.8980612135095124
APLAPOLLO,2433,-0.09815624157098811,0.898579144317252
APLLTD,2435,-0.09818752967002753,0.8984799945785331
APOLLOHOSP,2435,-0.09854123211386738,0.8981515342104367
APOLLOTYRE,2430,-0.09611302497363261,0.9005262076454678
APTUS,2429,-0.09770315640245972,0.8991026655109268
ARE&M,2430,-0.09690232064511904,0.8998413394705463
ASHOKLEY,2430,-0.10181250013876669,0.894878256660728
ASIANPAINT,2431,-0.09705924315287291,0.8996778545358889
ASTERDM,2436,-0.09905465520857262,0.8976374577979348
ASTRAL,2430,-0.1033260643586169,0.8933013637720361
ASTRAZEN,2436,-0.09904818171829897,0.8976434627361702
ATGL,2433,-0.0980609869586772,0.8986724129984102
ATUL,2430,-0.09712945529297562,0.8995960862282248
AUBANK,2429,-0.09937347206935947,0.8973560932271046
AUROPHARMA,2432,-0.10506114067326852,0.8914961713134217
AVANTIFEED,2436,-0.0990681373642943,0.897624951740238
AWL,2430,-0.09806021317316398,0.8986910090368486
AXISBANK,2432,-0.09710450964675457,0.8995549958248273
BAJAJ-AUTO,2434,-0.10121874588390335,0.8954793656518327
BAJAJFINSV,2433,-0.10027864036271558,0.8964343374044819
BAJAJHFL,2435,-0.09843913026088337,0.8982463248767402
BAJAJHLDNG,2430,-0.0982922724993197,0.8984615209293618
BAJFINANCE,2433,-0.09750556222846493,0.899188481542491
BALKRISIND,2432,-0.09772708138210426,0.8990055895070291
BALRAMCHIN,2429,-0.0998322483324255,0.8969315474683246
BANDHANBNK,2428,-0.1030869306255948,0.8937019549904298
BANKBARODA,2433,-0.09892883218700528,0.8977411048086202
BANKINDIA,2433,-0.0983599106969695,0.89837701914964
BASF,2436,-0.09934817311474238,0.8973652691362691
BATAINDIA,2428,-0.10217369635501514,0.8945369189374669
BAYERCROP,2434,-0.09940711796012368,0.8973025097962656
BBTC,2434,-0.09818897848147846,0.8985161100968351
BCG,2436,-0.09906088230665999,0.8976316814938011
BDL,2431,-0.09689628310449523,0.8998294203457051
BEL,2433,-0.1017384723836387,0.8949361196318711
BEML,2433,-0.09774811785619036,0.898963039994718
BERGEPAINT,2431,-0.10096567827008043,0.8957529508954244
BHARATFORG,2433,-0.101639143121943,0.8949909359101955
BHARTIARTL,2434,-0.0991590447515734,0.8975266528993733
BHARTIHEXA,2433,-0.09979917849297115,0.8969446109825583
BHEL,2432,-0.09889154072416642,0.8978104908065367
BIKAJI,2434,-0.09820056065602643,0.8985053542368847
BIOCON,2434,-0.09984679549836745,0.8968522886029786
BIRLACORPN,2436,-0.10029737004985428,0.8964019241122504
BLS,2433,-0.09750023288079718,0.8991934361350543
BLUEDART,2434,-0.09994820447874257,0.8967424995399192
BLUEJET,2435,-0.09850186350165335,0.8981880813924983
BLUESTARCO,2433,-0.10100653041583507,0.8957182045110982
BORORENEW,2435,-0.09856301028080063,0.8981313180969838
BOSCHLTD,2431,-0.10030673099745607,0.896415131515652
BPCL,2429,-0.09618864501486117,0.9005609259963382
BRIGADE,2431,-0.0980165963998159,0.8986866112158386
BRITANNIA,2428,-0.09688312347918367,0.8997742965532037
BSE,2432,-0.09735139047481134,0.8993690465586393
BSOFT,2429,-0.09873002599032174,0.8980001607184341
CAMPUS,2432,-0.10561782868213952,0.8909155779897169
CAMS,2435,-0.09844530947938716,0.898240587563474
CANBK,2432,-0.09848131998438044,0.8982219307429792
CANFINHOME,2434,-0.09797727588808344,0.8987127544352203
CANHLIFE,2436,-0.09994432907533292,0.8967665833814993
CAPLIPOINT,2436,-0.10072796071126675,0.8959571630582429
CARBORUNIV,2431,-0.09801087279857526,0.8987012950710627
CARTRADE,2436,-0.10065714526574417,0.8960303089831624
CASTROLIND,2429,-0.09668786920212465,0.9000317770183622
CCL,2436,-0.10013377343307422,0.8965709045622039
CDSL,2432,-0.09864603478038941,0.8980688518328462
CEATLTD,2432,-0.09733472336089755,0.8993845416895954
CELLO,2436,-0.09900159254803717,0.897686682146365
CENTRALBK,2431,-0.09827044621214341,0.8984525368839856
CENTURYPLY,2436,-0.09906384705047606,0.8976289314007317
CERA,2435,-0.09852366513956957,0.898167841844987
CESC,2432,-0.09814146340303778,0.8985714647428138
CGCL,2433,-0.10078651838087212,0.8959077990770931
CGPOWER,2433,-0.09753712295583823,0.8991591412571555
CHALET,2433,-0.10020482081572349,0.8965271047668817
CHAMBLFERT,2430,-0.09849201523569502,0.8982546510783297
CHENNPETRO,2435,-0.09864352150911042,0.8980565894904597
CHOICEIN,2435,-0.0985627065183496,0.898131600065613
CHOLAFIN,2432,-0.09862012742542002,0.8980923282725928
CHOLAHLDNG,2432,-0.10196676793476298,0.89479102068999
CIEINDIA,2434,-0.0981562921565528,0.8985464658489428
CIPLA,2435,-0.09988710939559392,0.896812195814419
CLEAN,2434,-0.10133021873125592,0.8953200183841885
COALINDIA,2432,-0.09970019772781799,0.8970287289277649
COCHINSHIP,2432,-0.0992118658789437,0.8974908963538722
