Signal_ID,Symbol,Signal_Date,Cancellation_Reason
LOWER|REDINGTON|2023-08-03,REDINGTON,2023-08-03,INSUFFICIENT_REWARD_RISK
LOWER|VEDL|2023-08-03,VEDL,2023-08-03,INSUFFICIENT_REWARD_RISK
LOWER|VIPIND|2023-08-03,VIPIND,2023-08-03,INSUFFICIENT_REWARD_RISK
LOWER|AUBANK|2023-08-08,AUBANK,2023-08-08,INSUFFICIENT_REWARD_RISK
LOWER|AUBANK|2023-08-11,AUBANK,2023-08-11,SAME_SYMBOL_LOCKOUT
LOWER|HINDUNILVR|2023-08-14,HINDUNILVR,2023-08-14,SAME_SYMBOL_LOCKOUT
LOWER|AUBANK|2023-08-16,AUBANK,2023-08-16,SAME_SYMBOL_LOCKOUT
LOWER|BORORENEW|2023-08-16,BORORENEW,2023-08-16,SAME_SYMBOL_LOCKOUT
LOWER|BRITANNIA|2023-08-16,BRITANNIA,2023-08-16,SAME_SYMBOL_LOCKOUT
LOWER|CARBORUNIV|2023-08-16,CARBORUNIV,2023-08-16,INSUFFICIENT_REWARD_RISK
LOWER|IGL|2023-08-16,IGL,2023-08-16,SAME_SYMBOL_LOCKOUT
LOWER|KOTAKBANK|2023-08-16,KOTAKBANK,2023-08-16,SAME_SYMBOL_LOCKOUT
LOWER|MGL|2023-08-16,MGL,2023-08-16,SAME_SYMBOL_LOCKOUT
LOWER|UPL|2023-08-16,UPL,2023-08-16,SAME_SYMBOL_LOCKOUT
LOWER|CHOLAFIN|2023-08-18,CHOLAFIN,2023-08-18,SAME_SYMBOL_LOCKOUT
LOWER|DALBHARAT|2023-08-18,DALBHARAT,2023-08-18,SAME_SYMBOL_LOCKOUT
LOWER|GMMPFAUDLR|2023-08-18,GMMPFAUDLR,2023-08-18,INSUFFICIENT_REWARD_RISK
LOWER|ELGIEQUIP|2023-08-28,ELGIEQUIP,2023-08-28,SAME_SYMBOL_LOCKOUT
LOWER|RAJESHEXPO|2023-08-28,RAJESHEXPO,2023-08-28,SAME_SYMBOL_LOCKOUT
LOWER|SBICARD|2023-08-31,SBICARD,2023-08-31,SAME_SYMBOL_LOCKOUT
LOWER|CUMMINSIND|2023-09-01,CUMMINSIND,2023-09-01,SAME_SYMBOL_LOCKOUT
LOWER|APOLLOTYRE|2023-09-04,APOLLOTYRE,2023-09-04,SAME_SYMBOL_LOCKOUT
LOWER|HAPPSTMNDS|2023-09-04,HAPPSTMNDS,2023-09-04,INSUFFICIENT_REWARD_RISK
LOWER|APOLLOTYRE|2023-09-05,APOLLOTYRE,2023-09-05,SAME_SYMBOL_LOCKOUT
LOWER|APOLLOTYRE|2023-09-06,APOLLOTYRE,2023-09-06,SAME_SYMBOL_LOCKOUT
LOWER|BDL|2023-09-13,BDL,2023-09-13,SAME_SYMBOL_LOCKOUT
LOWER|PIDILITIND|2023-09-13,PIDILITIND,2023-09-13,SAME_SYMBOL_LOCKOUT
LOWER|GODREJCP|2023-09-15,GODREJCP,2023-09-15,SAME_SYMBOL_LOCKOUT
LOWER|BDL|2023-09-18,BDL,2023-09-18,SAME_SYMBOL_LOCKOUT
LOWER|HINDUNILVR|2023-09-18,HINDUNILVR,2023-09-18,SAME_SYMBOL_LOCKOUT
LOWER|APOLLOTYRE|2023-09-20,APOLLOTYRE,2023-09-20,SAME_SYMBOL_LOCKOUT
LOWER|BDL|2023-09-20,BDL,2023-09-20,SAME_SYMBOL_LOCKOUT
LOWER|HINDUNILVR|2023-09-20,HINDUNILVR,2023-09-20,SAME_SYMBOL_LOCKOUT
LOWER|HINDUNILVR|2023-09-21,HINDUNILVR,2023-09-21,SAME_SYMBOL_LOCKOUT
LOWER|TIMKEN|2023-09-21,TIMKEN,2023-09-21,SAME_SYMBOL_LOCKOUT
LOWER|APOLLOTYRE|2023-09-22,APOLLOTYRE,2023-09-22,SAME_SYMBOL_LOCKOUT
LOWER|GODREJCP|2023-09-22,GODREJCP,2023-09-22,SAME_SYMBOL_LOCKOUT
LOWER|TIMKEN|2023-09-22,TIMKEN,2023-09-22,SAME_SYMBOL_LOCKOUT
LOWER|RADICO|2023-09-25,RADICO,2023-09-25,SAME_SYMBOL_LOCKOUT
LOWER|TIMKEN|2023-09-25,TIMKEN,2023-09-25,SAME_SYMBOL_LOCKOUT
LOWER|GODREJCP|2023-09-26,GODREJCP,2023-09-26,SAME_SYMBOL_LOCKOUT
