Signal_ID,Symbol,Signal_Date,Cancellation_Reason
UPPER|HUDCO|2023-08-02,HUDCO,2023-08-02,SAME_SYMBOL_LOCKOUT
UPPER|PHOENIXLTD|2023-08-02,PHOENIXLTD,2023-08-02,SAME_SYMBOL_LOCKOUT
UPPER|PVRINOX|2023-08-03,PVRINOX,2023-08-03,SAME_SYMBOL_LOCKOUT
UPPER|WELSPUNLIV|2023-08-03,WELSPUNLIV,2023-08-03,SAME_SYMBOL_LOCKOUT
UPPER|ACC|2023-08-04,ACC,2023-08-04,SAME_SYMBOL_LOCKOUT
UPPER|LTTS|2023-08-04,LTTS,2023-08-04,SAME_SYMBOL_LOCKOUT
UPPER|WELSPUNLIV|2023-08-04,WELSPUNLIV,2023-08-04,SAME_SYMBOL_LOCKOUT
UPPER|COROMANDEL|2023-08-07,COROMANDEL,2023-08-07,SAME_SYMBOL_LOCKOUT
UPPER|DELHIVERY|2023-08-07,DELHIVERY,2023-08-07,SAME_SYMBOL_LOCKOUT
UPPER|WELSPUNLIV|2023-08-07,WELSPUNLIV,2023-08-07,SAME_SYMBOL_LOCKOUT
UPPER|ADANIPORTS|2023-08-08,ADANIPORTS,2023-08-08,SAME_SYMBOL_LOCKOUT
UPPER|GMRAIRPORT|2023-08-08,GMRAIRPORT,2023-08-08,SAME_SYMBOL_LOCKOUT
UPPER|GRASIM|2023-08-08,GRASIM,2023-08-08,SAME_SYMBOL_LOCKOUT
UPPER|LTTS|2023-08-08,LTTS,2023-08-08,SAME_SYMBOL_LOCKOUT
UPPER|NBCC|2023-08-08,NBCC,2023-08-08,SAME_SYMBOL_LOCKOUT
UPPER|PHOENIXLTD|2023-08-08,PHOENIXLTD,2023-08-08,SAME_SYMBOL_LOCKOUT
UPPER|ADANIPORTS|2023-08-09,ADANIPORTS,2023-08-09,SAME_SYMBOL_LOCKOUT
UPPER|COROMANDEL|2023-08-09,COROMANDEL,2023-08-09,SAME_SYMBOL_LOCKOUT
UPPER|FINCABLES|2023-08-09,FINCABLES,2023-08-09,SAME_SYMBOL_LOCKOUT
UPPER|GMRAIRPORT|2023-08-09,GMRAIRPORT,2023-08-09,SAME_SYMBOL_LOCKOUT
UPPER|IOB|2023-08-09,IOB,2023-08-09,SAME_SYMBOL_LOCKOUT
UPPER|JSWSTEEL|2023-08-09,JSWSTEEL,2023-08-09,SAME_SYMBOL_LOCKOUT
UPPER|OIL|2023-08-09,OIL,2023-08-09,SAME_SYMBOL_LOCKOUT
UPPER|ADANIPORTS|2023-08-10,ADANIPORTS,2023-08-10,SAME_SYMBOL_LOCKOUT
UPPER|BANKINDIA|2023-08-10,BANKINDIA,2023-08-10,SAME_SYMBOL_LOCKOUT
UPPER|DELHIVERY|2023-08-10,DELHIVERY,2023-08-10,SAME_SYMBOL_LOCKOUT
UPPER|FINCABLES|2023-08-10,FINCABLES,2023-08-10,SAME_SYMBOL_LOCKOUT
UPPER|IOB|2023-08-10,IOB,2023-08-10,SAME_SYMBOL_LOCKOUT
UPPER|JINDALSTEL|2023-08-10,JINDALSTEL,2023-08-10,SAME_SYMBOL_LOCKOUT
UPPER|LATENTVIEW|2023-08-10,LATENTVIEW,2023-08-10,SAME_SYMBOL_LOCKOUT
UPPER|OIL|2023-08-10,OIL,2023-08-10,SAME_SYMBOL_LOCKOUT
UPPER|ONGC|2023-08-10,ONGC,2023-08-10,SAME_SYMBOL_LOCKOUT
UPPER|PVRINOX|2023-08-10,PVRINOX,2023-08-10,SAME_SYMBOL_LOCKOUT
UPPER|VOLTAS|2023-08-10,VOLTAS,2023-08-10,SAME_SYMBOL_LOCKOUT
UPPER|BANKINDIA|2023-08-11,BANKINDIA,2023-08-11,SAME_SYMBOL_LOCKOUT
UPPER|COROMANDEL|2023-08-11,COROMANDEL,2023-08-11,SAME_SYMBOL_LOCKOUT
UPPER|GMRAIRPORT|2023-08-11,GMRAIRPORT,2023-08-11,SAME_SYMBOL_LOCKOUT
UPPER|NBCC|2023-08-11,NBCC,2023-08-11,SAME_SYMBOL_LOCKOUT
UPPER|WELSPUNLIV|2023-08-11,WELSPUNLIV,2023-08-11,SAME_SYMBOL_LOCKOUT
UPPER|OIL|2023-08-14,OIL,2023-08-14,SAME_SYMBOL_LOCKOUT
UPPER|ONGC|2023-08-14,ONGC,2023-08-14,SAME_SYMBOL_LOCKOUT
UPPER|RHIM|2023-08-14,RHIM,2023-08-14,SAME_SYMBOL_LOCKOUT
UPPER|SOLARINDS|2023-08-14,SOLARINDS,2023-08-14,SAME_SYMBOL_LOCKOUT
