Reference_ID,Signal_ID,Symbol,Signal_Date,Entry_Date,Exit_Date,Entry_Open,Exit_Price,Mirror_Gross_Return_15
REFERENCE|UPPER|ADANIPORTS|2023-08-01,UPPER|ADANIPORTS|2023-08-01,ADANIPORTS,2023-08-01,2023-08-02,2023-08-24,756.835938031663,822.9480955858002,0.08735335391984433
REFERENCE|UPPER|AFFLE|2023-08-01,UPPER|AFFLE|2023-08-01,AFFLE,2023-08-01,2023-08-02,2023-08-24,1149.0,1090.800048828125,-0.050652699018167935
REFERENCE|UPPER|APARINDS|2023-08-01,UPPER|APARINDS|2023-08-01,APARINDS,2023-08-01,2023-08-02,2023-08-24,3661.678574107695,4840.416112887648,0.32191179944492965
REFERENCE|UPPER|ASAHIINDIA|2023-08-01,UPPER|ASAHIINDIA|2023-08-01,ASAHIINDIA,2023-08-01,2023-08-02,2023-08-24,552.0868269055215,502.03222885720874,-0.0906643585916942
REFERENCE|UPPER|BALKRISIND|2023-08-01,UPPER|BALKRISIND|2023-08-01,BALKRISIND,2023-08-01,2023-08-02,2023-08-24,2474.1335735077027,2344.8876747079057,-0.052238852495162025
REFERENCE|UPPER|BANKINDIA|2023-08-01,UPPER|BANKINDIA|2023-08-01,BANKINDIA,2023-08-01,2023-08-02,2023-08-24,78.11783755182506,82.41203729532675,0.05497079640297042
REFERENCE|UPPER|GICRE|2023-08-01,UPPER|GICRE|2023-08-01,GICRE,2023-08-01,2023-08-02,2023-08-24,191.12762244134814,199.81107617165824,0.04543275126532187
REFERENCE|UPPER|GMRAIRPORT|2023-08-01,UPPER|GMRAIRPORT|2023-08-01,GMRAIRPORT,2023-08-01,2023-08-02,2023-08-24,51.400001525878906,59.70000076293945,0.16147857958489853
REFERENCE|UPPER|GPPL|2023-08-01,UPPER|GPPL|2023-08-01,GPPL,2023-08-01,2023-08-02,2023-08-24,109.65597453105211,105.05751140090517,-0.041935363301566
REFERENCE|UPPER|GRANULES|2023-08-01,UPPER|GRANULES|2023-08-01,GRANULES,2023-08-01,2023-08-02,2023-08-24,323.7666021247675,293.6031252255608,-0.09316426308721859
REFERENCE|UPPER|GRASIM|2023-08-01,UPPER|GRASIM|2023-08-01,GRASIM,2023-08-01,2023-08-02,2023-08-24,1796.3671215150878,1778.935591663867,-0.009703768034074689
REFERENCE|UPPER|HUDCO|2023-08-01,UPPER|HUDCO|2023-08-01,HUDCO,2023-08-01,2023-08-02,2023-08-24,57.4270358027121,67.17629412604482,0.16976774418282448
REFERENCE|UPPER|INDIANB|2023-08-01,UPPER|INDIANB|2023-08-01,INDIANB,2023-08-01,2023-08-02,2023-08-24,322.4703282860463,384.04218217906526,0.1909380445025064
REFERENCE|UPPER|JINDALSTEL|2023-08-01,UPPER|JINDALSTEL|2023-08-01,JINDALSTEL,2023-08-01,2023-08-02,2023-08-24,663.920361441913,662.6046034106345,-0.0019818009925481883
