Reference_ID,Signal_ID,Symbol,Signal_Date,Entry_Date,Entry_Open,Scheduled_Exit_Date
REFERENCE|UPPER|ADANIPORTS|2023-08-01,UPPER|ADANIPORTS|2023-08-01,ADANIPORTS,2023-08-01,2023-08-02,756.835938031663,2023-08-24
REFERENCE|UPPER|AFFLE|2023-08-01,UPPER|AFFLE|2023-08-01,AFFLE,2023-08-01,2023-08-02,1149.0,2023-08-24
REFERENCE|UPPER|APARINDS|2023-08-01,UPPER|APARINDS|2023-08-01,APARINDS,2023-08-01,2023-08-02,3661.678574107695,2023-08-24
REFERENCE|UPPER|ASAHIINDIA|2023-08-01,UPPER|ASAHIINDIA|2023-08-01,ASAHIINDIA,2023-08-01,2023-08-02,552.0868269055215,2023-08-24
REFERENCE|UPPER|BALKRISIND|2023-08-01,UPPER|BALKRISIND|2023-08-01,BALKRISIND,2023-08-01,2023-08-02,2474.1335735077027,2023-08-24
REFERENCE|UPPER|BANKINDIA|2023-08-01,UPPER|BANKINDIA|2023-08-01,BANKINDIA,2023-08-01,2023-08-02,78.11783755182506,2023-08-24
REFERENCE|UPPER|GICRE|2023-08-01,UPPER|GICRE|2023-08-01,GICRE,2023-08-01,2023-08-02,191.12762244134814,2023-08-24
REFERENCE|UPPER|GMRAIRPORT|2023-08-01,UPPER|GMRAIRPORT|2023-08-01,GMRAIRPORT,2023-08-01,2023-08-02,51.400001525878906,2023-08-24
REFERENCE|UPPER|GPPL|2023-08-01,UPPER|GPPL|2023-08-01,GPPL,2023-08-01,2023-08-02,109.65597453105211,2023-08-24
REFERENCE|UPPER|GRANULES|2023-08-01,UPPER|GRANULES|2023-08-01,GRANULES,2023-08-01,2023-08-02,323.7666021247675,2023-08-24
REFERENCE|UPPER|GRASIM|2023-08-01,UPPER|GRASIM|2023-08-01,GRASIM,2023-08-01,2023-08-02,1796.3671215150878,2023-08-24
REFERENCE|UPPER|HUDCO|2023-08-01,UPPER|HUDCO|2023-08-01,HUDCO,2023-08-01,2023-08-02,57.4270358027121,2023-08-24
REFERENCE|UPPER|INDIANB|2023-08-01,UPPER|INDIANB|2023-08-01,INDIANB,2023-08-01,2023-08-02,322.4703282860463,2023-08-24
REFERENCE|UPPER|JINDALSTEL|2023-08-01,UPPER|JINDALSTEL|2023-08-01,JINDALSTEL,2023-08-01,2023-08-02,663.920361441913,2023-08-24
REFERENCE|UPPER|JSWSTEEL|2023-08-01,UPPER|JSWSTEEL|2023-08-01,JSWSTEEL,2023-08-01,2023-08-02,803.8554761114052,2023-08-24
REFERENCE|UPPER|LICHSGFIN|2023-08-01,UPPER|LICHSGFIN|2023-08-01,LICHSGFIN,2023-08-01,2023-08-02,388.4321237224639,2023-08-24
REFERENCE|UPPER|MRF|2023-08-01,UPPER|MRF|2023-08-01,MRF,2023-08-01,2023-08-02,102502.7845001964,2023-08-24
REFERENCE|UPPER|NHPC|2023-08-01,UPPER|NHPC|2023-08-01,NHPC,2023-08-01,2023-08-02,48.14525789766271,2023-08-24
REFERENCE|UPPER|NMDC|2023-08-01,UPPER|NMDC|2023-08-01,NMDC,2023-08-01,2023-08-02,34.120379978092615,2023-08-24
REFERENCE|UPPER|OIL|2023-08-01,UPPER|OIL|2023-08-01,OIL,2023-08-01,2023-08-02,165.2000073516823,2023-08-24
REFERENCE|UPPER|PETRONET|2023-08-01,UPPER|PETRONET|2023-08-01,PETRONET,2023-08-01,2023-08-02,205.43956455494353,2023-08-24
REFERENCE|UPPER|PHOENIXLTD|2023-08-01,UPPER|PHOENIXLTD|2023-08-01,PHOENIXLTD,2023-08-01,2023-08-02,859.658835069252,2023-08-24
REFERENCE|UPPER|PVRINOX|2023-08-01,UPPER|PVRINOX|2023-08-01,PVRINOX,2023-08-01,2023-08-02,1584.0,2023-08-24
REFERENCE|UPPER|TIMKEN|2023-08-01,UPPER|TIMKEN|2023-08-01,TIMKEN,2023-08-01,2023-08-02,3497.2224695322734,2023-08-24
REFERENCE|UPPER|WELSPUNLIV|2023-08-01,UPPER|WELSPUNLIV|2023-08-01,WELSPUNLIV,2023-08-01,2023-08-02,112.99740328985332,2023-08-24
REFERENCE|UPPER|AMBUJACEM|2023-08-02,UPPER|AMBUJACEM|2023-08-02,AMBUJACEM,2023-08-02,2023-08-03,459.6343787027131,2023-08-25
REFERENCE|UPPER|ATUL|2023-08-02,UPPER|ATUL|2023-08-02,ATUL,2023-08-02,2023-08-03,7011.076860094328,2023-08-25
REFERENCE|UPPER|CARBORUNIV|2023-08-02,UPPER|CARBORUNIV|2023-08-02,CARBORUNIV,2023-08-02,2023-08-03,1227.966051097852,2023-08-25
REFERENCE|UPPER|IBREALEST|2023-08-02,UPPER|IBREALEST|2023-08-02,IBREALEST,2023-08-02,2023-08-03,67.6500015258789,2023-08-25
REFERENCE|UPPER|IOB|2023-08-02,UPPER|IOB|2023-08-02,IOB,2023-08-02,2023-08-03,26.5,2023-08-25
REFERENCE|UPPER|KEC|2023-08-02,UPPER|KEC|2023-08-02,KEC,2023-08-02,2023-08-03,631.1924678432813,2023-08-25
REFERENCE|UPPER|MAHABANK|2023-08-02,UPPER|MAHABANK|2023-08-02,MAHABANK,2023-08-02,2023-08-03,30.840435150481643,2023-08-25
REFERENCE|UPPER|MGL|2023-08-02,UPPER|MGL|2023-08-02,MGL,2023-08-02,2023-08-03,1007.7762904304146,2023-08-25
REFERENCE|UPPER|NBCC|2023-08-02,UPPER|NBCC|2023-08-02,NBCC,2023-08-02,2023-08-03,28.42100772130529,2023-08-25
REFERENCE|UPPER|OBEROIRLTY|2023-08-02,UPPER|OBEROIRLTY|2023-08-02,OBEROIRLTY,2023-08-02,2023-08-03,1092.5664952946427,2023-08-25
REFERENCE|UPPER|ONGC|2023-08-02,UPPER|ONGC|2023-08-02,ONGC,2023-08-02,2023-08-03,150.65367805516678,2023-08-25
REFERENCE|UPPER|ACC|2023-08-03,UPPER|ACC|2023-08-03,ACC,2023-08-03,2023-08-04,2013.4235756231074,2023-08-28
REFERENCE|UPPER|ALKEM|2023-08-03,UPPER|ALKEM|2023-08-03,ALKEM,2023-08-03,2023-08-04,3900.266445358633,2023-08-28
REFERENCE|UPPER|CESC|2023-08-03,UPPER|CESC|2023-08-03,CESC,2023-08-03,2023-08-04,68.94960509897099,2023-08-28
REFERENCE|UPPER|LTTS|2023-08-03,UPPER|LTTS|2023-08-03,LTTS,2023-08-03,2023-08-04,4074.298952127542,2023-08-28
REFERENCE|UPPER|COROMANDEL|2023-08-04,UPPER|COROMANDEL|2023-08-04,COROMANDEL,2023-08-04,2023-08-07,1031.7848987369837,2023-08-29
REFERENCE|UPPER|DELHIVERY|2023-08-04,UPPER|DELHIVERY|2023-08-04,DELHIVERY,2023-08-04,2023-08-07,424.8999938964844,2023-08-29
REFERENCE|UPPER|GESHIP|2023-08-04,UPPER|GESHIP|2023-08-04,GESHIP,2023-08-04,2023-08-07,722.0949481033521,2023-08-29
REFERENCE|UPPER|MARICO|2023-08-04,UPPER|MARICO|2023-08-04,MARICO,2023-08-04,2023-08-07,554.6519780485435,2023-08-29
REFERENCE|UPPER|POLICYBZR|2023-08-04,UPPER|POLICYBZR|2023-08-04,POLICYBZR,2023-08-04,2023-08-07,778.0999755859375,2023-08-29
REFERENCE|UPPER|PRAJIND|2023-08-04,UPPER|PRAJIND|2023-08-04,PRAJIND,2023-08-04,2023-08-07,424.793673000373,2023-08-29
REFERENCE|UPPER|RHIM|2023-08-04,UPPER|RHIM|2023-08-04,RHIM,2023-08-04,2023-08-07,676.8176083918071,2023-08-29
REFERENCE|UPPER|SPARC|2023-08-04,UPPER|SPARC|2023-08-04,SPARC,2023-08-04,2023-08-07,242.85000610351562,2023-08-29
REFERENCE|UPPER|BALRAMCHIN|2023-08-07,UPPER|BALRAMCHIN|2023-08-07,BALRAMCHIN,2023-08-07,2023-08-08,394.9172661112759,2023-08-30
REFERENCE|UPPER|CAMS|2023-08-07,UPPER|CAMS|2023-08-07,CAMS,2023-08-07,2023-08-08,452.88360204838017,2023-08-30
REFERENCE|UPPER|JUBLFOOD|2023-08-07,UPPER|JUBLFOOD|2023-08-07,JUBLFOOD,2023-08-07,2023-08-08,511.5387642907435,2023-08-30
REFERENCE|UPPER|KPITTECH|2023-08-07,UPPER|KPITTECH|2023-08-07,KPITTECH,2023-08-07,2023-08-08,1130.1087750829267,2023-08-30
REFERENCE|UPPER|MTARTECH|2023-08-07,UPPER|MTARTECH|2023-08-07,MTARTECH,2023-08-07,2023-08-08,2242.0,2023-08-30
REFERENCE|UPPER|NYKAA|2023-08-07,UPPER|NYKAA|2023-08-07,NYKAA,2023-08-07,2023-08-08,147.9499969482422,2023-08-30
REFERENCE|UPPER|UBL|2023-08-07,UPPER|UBL|2023-08-07,UBL,2023-08-07,2023-08-08,1558.7216616524306,2023-08-30
REFERENCE|UPPER|VOLTAS|2023-08-07,UPPER|VOLTAS|2023-08-07,VOLTAS,2023-08-07,2023-08-08,818.6799212440384,2023-08-30
REFERENCE|UPPER|DIVISLAB|2023-08-08,UPPER|DIVISLAB|2023-08-08,DIVISLAB,2023-08-08,2023-08-09,3772.916132008249,2023-08-31
REFERENCE|UPPER|FINCABLES|2023-08-08,UPPER|FINCABLES|2023-08-08,FINCABLES,2023-08-08,2023-08-09,1062.9021413297596,2023-08-31
REFERENCE|UPPER|VIPIND|2023-08-08,UPPER|VIPIND|2023-08-08,VIPIND,2023-08-08,2023-08-09,658.3808366497061,2023-08-31
REFERENCE|UPPER|BIOCON|2023-08-09,UPPER|BIOCON|2023-08-09,BIOCON,2023-08-09,2023-08-10,267.9485969093655,2023-09-01
REFERENCE|UPPER|CERA|2023-08-09,UPPER|CERA|2023-08-09,CERA,2023-08-09,2023-08-10,8092.82988396953,2023-09-01
