Sector_Key,Index_Name,Yahoo_Ticker,Valid_Ranked_Days,Leading_Days,Acceptable_Days,Weak_Days,Lagging_Days,Earliest_Ranked_Date,Latest_Ranked_Date
AUTO,NIFTY AUTO,^CNXAUTO,988,520,205,103,160,2022-07-06,2026-07-17
BANK,NIFTY BANK,^NSEBANK,1020,437,175,55,353,2022-07-06,2026-08-25
ENERGY,NIFTY ENERGY,^CNXENERGY,988,243,188,110,447,2022-07-06,2026-07-17
FINANCIAL_SERVICES,NIFTY FIN SERVICE,NIFTY_FIN_SERVICE.NS,988,380,227,100,281,2022-07-06,2026-07-17
FMCG,NIFTY FMCG,^CNXFMCG,988,298,117,68,505,2022-07-06,2026-07-17
INFRASTRUCTURE,NIFTY INFRA,^CNXINFRA,988,410,334,149,95,2022-07-06,2026-07-17
IT,NIFTY IT,^CNXIT,1020,266,114,73,567,2022-07-06,2026-08-25
MEDIA,NIFTY MEDIA,^CNXMEDIA,988,170,120,58,640,2022-07-06,2026-07-17
METAL,NIFTY METAL,^CNXMETAL,988,463,194,91,240,2022-07-06,2026-07-17
PHARMA,NIFTY PHARMA,^CNXPHARMA,1019,376,255,124,264,2022-07-06,2026-08-25
REALTY,NIFTY REALTY,^CNXREALTY,988,421,78,57,432,2022-07-06,2026-07-17
