Symbol,Yahoo_Ticker,Valid_Ranked_Days,Preferred_Days,Valid_Days,Below_Valid_Days,Earliest_Ranked_Date,Latest_Ranked_Date,Mean_Composite_RS,Median_Composite_RS
ADANIENT,ADANIENT.NS,1025,215,115,695,2022-07-06,2026-08-25,50.29414634146342,47.5
APOLLOHOSP,APOLLOHOSP.NS,1025,145,132,748,2022-07-06,2026-08-25,56.215609756097564,56.0
BAJFINANCE,BAJFINANCE.NS,1025,194,120,711,2022-07-06,2026-08-25,51.977560975609755,52.0
BHARTIARTL,BHARTIARTL.NS,1025,203,195,627,2022-07-06,2026-08-25,63.98926829268293,65.0
HDFCBANK,HDFCBANK.NS,1025,96,117,812,2022-07-06,2026-08-25,46.77804878048781,46.0
HINDUNILVR,HINDUNILVR.NS,1025,52,57,916,2022-07-06,2026-08-25,41.43170731707317,38.0
ICICIBANK,ICICIBANK.NS,1025,115,176,734,2022-07-06,2026-08-25,54.79024390243902,54.5
INFY,INFY.NS,1025,89,74,862,2022-07-06,2026-08-25,42.14341463414634,40.0
ITC,ITC.NS,1025,175,62,788,2022-07-06,2026-08-25,46.646829268292684,39.0
LT,LT.NS,1025,223,200,602,2022-07-06,2026-08-25,62.220975609756096,65.0
M&M,M&M.NS,1025,279,200,546,2022-07-06,2026-08-25,64.17219512195122,67.5
MARUTI,MARUTI.NS,1025,131,111,783,2022-07-06,2026-08-25,52.13121951219512,51.0
ONGC,ONGC.NS,1025,272,130,623,2022-07-06,2026-08-25,56.33317073170732,55.5
POWERGRID,POWERGRID.NS,1025,220,103,702,2022-07-06,2026-08-25,53.88292682926829,52.5
RELIANCE,RELIANCE.NS,1025,61,64,900,2022-07-06,2026-08-25,43.752682926829266,40.5
SBIN,SBIN.NS,1025,184,125,716,2022-07-06,2026-08-25,57.229268292682924,59.0
SUNPHARMA,SUNPHARMA.NS,1025,183,147,695,2022-07-06,2026-08-25,57.06878048780488,58.0
TATASTEEL,TATASTEEL.NS,1025,246,109,670,2022-07-06,2026-08-25,55.834634146341465,53.5
TCS,TCS.NS,1025,7,55,963,2022-07-06,2026-08-25,37.250243902439024,35.5
ULTRACEMCO,ULTRACEMCO.NS,1025,98,149,778,2022-07-06,2026-08-25,55.85707317073171,57.0
