Symbol,Date,Base_ID,Seed_Date,Base_Age,Event,Original_Pivot,Active_Pivot,New_Pivot,Base_Low,Base_Depth_ATR,High,Low,Close
360ONE,2022-04-08 00:00:00,360ONE-2022-04-08,2022-04-08 00:00:00,0,SEEDED,414.15162202105716,414.15162202105716,,inf,-inf,414.15162202105716,382.1087788390703,410.8270568847656
360ONE,2022-04-11 00:00:00,360ONE-2022-04-08,2022-04-08 00:00:00,1,FAILED_PROBE,414.15162202105716,414.15162202105716,419.35964571062283,408.693824736467,0.3217026905626276,419.35964571062283,408.693824736467,413.91326904296875
360ONE,2022-04-19 00:00:00,360ONE-2022-04-08,2022-04-08 00:00:00,5,TOO_SHORT_BREAKOUT,414.15162202105716,419.35964571062283,,393.9545642536293,1.4974691496427057,433.05506016293424,400.115820553375,421.3113098144531
360ONE,2022-04-19 00:00:00,360ONE-2022-04-19,2022-04-19 00:00:00,0,SEEDED,433.05506016293424,433.05506016293424,,inf,-inf,433.05506016293424,400.115820553375,421.3113098144531
360ONE,2022-05-11 00:00:00,360ONE-2022-04-19,2022-04-19 00:00:00,15,DEPTH_INVALIDATED,433.05506016293424,433.05506016293424,,353.25432069018984,4.563116347289023,394.862370064392,353.25432069018984,358.8935852050781
360ONE,2022-08-23 00:00:00,360ONE-2022-08-23,2022-08-23 00:00:00,0,SEEDED,396.6315968359119,396.6315968359119,,inf,-inf,396.6315968359119,387.24929933577425,389.2440490722656
360ONE,2022-09-06 00:00:00,360ONE-2022-08-23,2022-08-23 00:00:00,9,FAILED_PROBE,396.6315968359119,396.6315968359119,405.90956678488004,378.0757282872873,1.787562143099539,405.90956678488004,385.2893551294073,394.7064514160156
360ONE,2022-09-08 00:00:00,360ONE-2022-08-23,2022-08-23 00:00:00,11,BREAKOUT_CANDIDATE,396.6315968359119,405.90956678488004,,378.0757282872873,2.68134665133372,423.30562445680124,400.51670522234605,416.3123779296875
360ONE,2022-09-08 00:00:00,360ONE-2022-09-08,2022-09-08 00:00:00,0,SEEDED,423.30562445680124,423.30562445680124,,inf,-inf,423.30562445680124,400.51670522234605,416.3123779296875
360ONE,2022-09-16 00:00:00,360ONE-2022-09-08,2022-09-08 00:00:00,6,FAILED_PROBE,423.30562445680124,423.30562445680124,435.366964649568,387.8176238021157,3.1358088290736044,435.366964649568,392.1897823913936,421.9487609863281
360ONE,2022-09-16 00:00:00,360ONE-2022-09-08,2022-09-08 00:00:00,6,DEPTH_INVALIDATED,423.30562445680124,435.366964649568,,387.8176238021157,4.20157912802519,435.366964649568,392.1897823913936,421.9487609863281
360ONE,2022-09-20 00:00:00,360ONE-2022-09-20,2022-09-20 00:00:00,0,SEEDED,451.1394304209891,451.1394304209891,,inf,-inf,451.1394304209891,422.3546528882906,438.5098571777344
