Omitted_Symbol,Remaining_Entry_Count,Setup_Mean_Return,Setup_Return_PF,Practical_Mean_R,Practical_R_PF
360ONE,1458,0.0017032739998672497,1.0673135404634042,0.0029444603590860004,1.0057285283206776
3MINDIA,1463,0.0016161592761113647,1.063745380873669,0.001992125341257617,1.0038730909751228
AADHARHFC,1464,0.001619492193561155,1.0639316967832353,0.001980064203280741,1.00385219284464
AAVAS,1464,0.0016410325955461859,1.0648371674327295,0.0020783030785283883,1.0040440883986483
ABB,1462,0.0016516018076865831,1.0651870212214207,0.002928440850325249,1.0056999382601597
ABBOTINDIA,1464,0.001590339152373056,1.0627150387557753,0.0013048689551421206,1.002535722960486
ABCAPITAL,1460,0.0015212725759467937,1.0599615639167996,0.00020655974244614833,1.0004014021471597
ABFRL,1464,0.0015940719251101656,1.0628651113299663,0.0014137225071450383,1.0027473543187924
ABREL,1460,0.0016302141706028806,1.0643553780964812,0.0016621285589482919,1.0032273137080847
ABSLAMC,1461,0.0016202687971303342,1.0638952169375027,0.0014701429075515608,1.0028552301985507
ACC,1464,0.0016100535262165354,1.0635354187399173,0.0016648548072416734,1.0032369714482496
ACE,1464,0.0016603716674012765,1.065651417156321,0.002078303078528391,1.0040440883986483
ACMESOLAR,1464,0.0015963748059614614,1.0629616476722867,0.0014714170088016428,1.0028597954349026
ACUTAAS,1464,0.001550871680204549,1.0611586386363754,0.0005063661490649204,1.0009840101303176
ADANIENSOL,1459,0.001750580821881611,1.0692124142592452,0.003817758879656113,1.0074284102575959
ADANIENT,1460,0.0016516910588785323,1.0651067866307578,0.0030089575125658075,1.0058505496322219
ADANIGREEN,1459,0.0016281485309316288,1.0642301095869113,0.0015538814297804365,1.0030187222216493
ADANIPORTS,1458,0.001685235510168076,1.0664676976946672,0.003697556113201707,1.0071957570928083
ADANIPOWER,1459,0.0012305115516426698,1.0484885279830023,0.001995774041030294,1.0038895467023687
AEGISLOG,1463,0.0016671311378028523,1.0658883048013197,0.0022824080444978495,1.0044399645087887
AEGISVOPAK,1464,0.0016447051870241115,1.0649917020112567,0.002078303078528393,1.0040440883986483
