Symbol,Date,State_ID,Event,Leader_Date,Age,Leader_Close,ATR14_Seed,Pullback_Low,Pullback_Depth_ATR,Prior_High,High,Low,Close,SMA20,SMA50,SMA200
360ONE,2023-12-01 00:00:00,360ONE-2023-12-01,SEEDED,2023-12-01 00:00:00,0,567.8414306640625,16.51888751233675,inf,,,569.9739982727195,556.8394052133574,567.8414306640625,529.1023498535156,512.5210986328125,455.45007064819333
360ONE,2023-12-04 00:00:00,360ONE-2023-12-01,NEW_LEADER_CLOSE,2023-12-01 00:00:00,1,567.8414306640625,16.51888751233675,578.940372434495,-0.6718940220486087,569.9739982727195,614.0790723101759,578.940372434495,584.077880859375,531.770132446289,514.2877606201172,456.19833892822265
360ONE,2023-12-04 00:00:00,360ONE-2023-12-04,SEEDED,2023-12-04 00:00:00,0,584.077880859375,18.64165566474937,inf,,,614.0790723101759,578.940372434495,584.077880859375,531.770132446289,514.2877606201172,456.19833892822265
360ONE,2023-12-05 00:00:00,360ONE-2023-12-04,NEW_LEADER_CLOSE,2023-12-04 00:00:00,1,584.077880859375,18.64165566474937,585.4836002011419,-0.07540742984675439,614.0790723101759,612.3344327716524,585.4836002011419,589.4578857421875,535.6908111572266,516.090814819336,456.989694519043
360ONE,2023-12-05 00:00:00,360ONE-2023-12-05,SEEDED,2023-12-05 00:00:00,0,589.4578857421875,19.328433968144225,inf,,,612.3344327716524,585.4836002011419,589.4578857421875,535.6908111572266,516.090814819336,456.989694519043
360ONE,2023-12-06 00:00:00,360ONE-2023-12-05,NEW_LEADER_CLOSE,2023-12-05 00:00:00,1,589.4578857421875,19.328433968144225,591.1056668847907,-0.08525166318797299,612.3344327716524,637.6341558622336,591.1056668847907,629.5401611328125,541.7118240356446,518.7513256835938,457.94329711914065
360ONE,2023-12-06 00:00:00,360ONE-2023-12-06,SEEDED,2023-12-06 00:00:00,0,629.5401611328125,21.38899369328007,inf,,,637.6341558622336,591.1056668847907,629.5401611328125,541.7118240356446,518.7513256835938,457.94329711914065
360ONE,2023-12-07 00:00:00,360ONE-2023-12-06,ACTIVE,2023-12-06 00:00:00,1,629.5401611328125,21.38899369328007,618.0049959351302,0.5393037822675314,637.6341558622336,630.0733355017794,618.0049959351302,621.3492431640625,547.2390960693359,520.9997595214844,458.8609666442871
360ONE,2023-12-08 00:00:00,360ONE-2023-12-06,ACTIVE,2023-12-06 00:00:00,2,629.5401611328125,21.38899369328007,618.0049959351302,0.5393037822675314,630.0733355017794,632.0120160698109,620.379893074661,627.6984252929688,552.8384552001953,523.5387585449218,459.8288146972656
360ONE,2023-12-11 00:00:00,360ONE-2023-12-06,ACTIVE,2023-12-06 00:00:00,3,629.5401611328125,21.38899369328007,612.3828453541909,0.8021562876991296,632.0120160698109,632.0120540893272,612.3828453541909,626.6806640625,557.9202362060547,526.1680584716797,460.7893290710449
